"ACCURACY","F1_SCORE","PRECISION","RECALL","ML_FRAMEWORK","TRANSFER_LEARNING","DEEP_LEARNING","MODEL_TYPE","DEPTH","NUM_PARAMS","AVERAGEPOOLING2D_LAYERS","CONV2D_LAYERS","BATCHNORMALIZATION_LAYERS","DENSE_LAYERS","MAXPOOLING2D_LAYERS","INPUTLAYER_LAYERS","AVERAGE_LAYERS","ADD_LAYERS","GLOBALAVERAGEPOOLING2D_LAYERS","ZEROPADDING2D_LAYERS","DROPOUT_LAYERS","DEPTHWISECONV2D_LAYERS","FLATTEN_LAYERS","CONCATENATE_LAYERS","SIGMOID_ACT","SELU_ACT","RELU_ACT","SOFTMAX_ACT","LOSS","OPTIMIZER","MEMORY_SIZE","TEAM","USERNAME","TIMESTAMP","VERSION"
"0.9635941131","0.9636545506","0.9638309545","0.9635820788","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","francesyang","2023-03-06 22:24:23.991057","23"
"0.9628195198","0.9626534413","0.9630485336","0.9628014892","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","francesyang","2023-03-06 22:17:54.696299","22"
"0.9604957397","0.9604641479","0.9605596193","0.9604831022","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","rian","2023-03-13 11:40:42.548416","257"
"0.9581719597","0.9582406151","0.9587650142","0.9581557222","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","francesyang","2023-03-06 22:11:34.640494","20"
"0.9558481797","0.9558996087","0.9560315788","0.9558301408","unknown","null","null","unknown","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","francesyang","2023-03-06 19:45:12.233035","9"
"0.9527498064","0.9527911812","0.9533720597","0.9527383586","keras","true","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","67122440","null","so2638","2023-03-14 01:59:51.789071","299"
"0.9488768397","0.9487133535","0.9487369325","0.9488480009","keras","null","true","Sequential","17","3811619","null","10","null","1","4","null","null","null","null","null","1","null","1","null","null","null","10","1","str","Adam","15249704","null","rian","2023-03-13 10:28:47.799171","256"
"0.9465530596","0.9466284347","0.9476646802","0.9465458012","keras","true","true","Sequential","36","19406083","1","25","1","1","6","1","null","null","null","null","null","null","1","null","null","null","25","1","str","Adam","77632408","null","jer2240","2023-03-12 20:43:58.909531","235"
"0.9465530596","0.9466284347","0.9476646802","0.9465458012","keras","true","true","Sequential","36","19406083","1","25","1","1","6","1","null","null","null","null","null","null","1","null","null","null","25","1","str","Adam","77632408","null","jer2240","2023-03-12 20:49:06.829332","236"
"0.9442292796","0.9441658979","0.9443572331","0.9442112268","keras","null","true","Sequential","26","117651","null","10","9","1","5","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","478136","null","oliverhegi","2023-03-07 22:42:33.431166","78"
"0.9403563129","0.9402145428","0.9403961298","0.9403406536","keras","true","true","Sequential","36","19406083","1","25","1","1","6","1","null","null","null","null","null","null","1","null","null","null","25","1","str","Adam","77632408","null","jer2240","2023-03-12 21:19:12.044703","245"
"0.9403563129","0.9403154251","0.9403209774","0.9403316606","keras","null","true","Sequential","25","37859","null","10","9","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","159016","null","sofiazaidman","2023-03-11 22:06:18.314887","186"
"0.9372579396","0.9374196536","0.9416172206","0.9372434756","keras","null","true","Sequential","27","19502147","null","13","2","3","5","1","null","null","null","null","2","null","1","null","null","null","15","1","str","Adam","78014136","null","Rochuz","2023-03-14 19:20:28.953462","415"
"0.9372579396","0.9371078709","0.9371171618","0.9372308854","keras","true","true","Functional","219","21808931","9","94","94","1","4","1","null","null","1","null","null","null","null","15","null","null","94","1","str","Adam","87285904","null","hal2148","2023-03-06 22:02:14.711467","18"
"0.9364833462","0.93662848","0.9378827373","0.936471879","keras","null","true","Sequential","25","37859","null","10","9","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","159016","null","sofiazaidman","2023-03-11 21:50:12.518165","184"
"0.9364833462","0.93662848","0.9378827373","0.936471879","keras","null","true","Sequential","25","37859","null","10","9","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","159016","null","sofiazaidman","2023-03-11 22:03:54.759229","185"
"0.9333849729","0.9334051229","0.9338790828","0.9333531179","keras","true","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","SGD","67122440","null","so2638","2023-03-14 17:15:47.545314","385"
"0.9318357862","0.9318937553","0.9321805713","0.9318243134","keras","null","true","Sequential","35","19418371","1","25","1","1","5","1","null","null","null","null","null","null","1","null","null","null","25","1","str","Adam","77681560","null","jer2240","2023-03-12 19:15:31.128060","229"
"0.9318357862","0.9317689687","0.9318336121","0.9318099246","keras","true","true","Functional","22","16779523","null","13","null","2","5","1","null","null","null","null","null","null","1","null","null","null","14","1","str","Adam","67122440","null","so2638","2023-03-14 17:20:43.710575","387"
"0.9287374129","0.9289612838","0.9297209653","0.928710948","keras","null","true","Functional","123","8164803","null","35","52","3","null","1","null","10","null","4","null","17","1","null","null","null","37","1","str","Adam","32693768","null","rian","2023-03-13 14:51:52.101679","258"
"0.9287374129","0.928622442","0.9285610042","0.9287055523","keras","null","true","Sequential","25","58147","null","10","9","1","4","null","null","null","null","null","null","null","1","null","null","null","10","1","str","Adam","240120","null","sofiazaidman","2023-03-07 23:01:46.782880","82"
"0.9279628195","0.928805437","0.9375864966","0.9280041008","keras","null","true","Functional","219","21808931","9","94","94","1","4","1","null","null","1","null","null","null","null","15","null","null","94","1","str","Adam","87285864","1","tinaz0407","2023-03-14 18:25:34.362955","403"
